iter	RMSE
0	0.3844400247
1	0.3690123138
2	0.3550088223
3	0.3421715636
4	0.3300345851
5	0.3185206107
6	0.307339169
7	0.2959949892
8	0.2856272325
9	0.2762314258
10	0.2672438836
11	0.2589161673
12	0.2511510567
13	0.2444726648
14	0.2376195486
15	0.2311232532
16	0.2243106358
17	0.2193865545
18	0.2148298272
19	0.2091758309
20	0.2042196296
21	0.2000230011
22	0.195468959
23	0.1912116743
24	0.187501352
25	0.1838703924
26	0.1808151174
27	0.1777948924
28	0.1747130424
29	0.1717368711
30	0.1688333015
31	0.1662822936
32	0.1643811316
33	0.1621339609
34	0.1601946534
35	0.1582489313
36	0.1563447779
37	0.154868695
38	0.1529716275
39	0.1514792959
40	0.1499251738
41	0.1484292578
42	0.1468883284
43	0.145367785
44	0.1436463318
45	0.1422287182
46	0.1411833214
47	0.1400921648
48	0.1390165866
49	0.1380053015
50	0.1369372034
51	0.1358457406
52	0.1346719908
53	0.1336815043
54	0.1326200893
55	0.1316754729
56	0.1307716873
57	0.1300953699
58	0.1295423186
59	0.1287433329
60	0.1279454096
61	0.1272124739
62	0.1264104019
63	0.1257780353
64	0.1252121688
65	0.1245682188
66	0.1238504789
67	0.1233281776
68	0.1226096099
69	0.1221317011
70	0.1216214404
71	0.1213598855
72	0.1205109787
73	0.1200804365
74	0.1194340207
75	0.1189837117
76	0.1181772658
77	0.1177320009
78	0.1173058517
79	0.1168538921
80	0.1163967856
81	0.1156940656
82	0.1154720323
83	0.1149739134
84	0.1145723867
85	0.1139972042
86	0.1137011074
87	0.1132454515
88	0.1127160067
89	0.1122642592
90	0.1117602858
91	0.1113854521
92	0.1110028397
93	0.1107805948
94	0.1104712817
95	0.1102554933
96	0.1097952352
97	0.1093675503
98	0.109138701
99	0.1087673769
100	0.1084114366
101	0.1080269237
102	0.1076401635
103	0.1073501678
104	0.1069979058
105	0.1067405036
106	0.1065347613
107	0.1061967841
108	0.1058529282
109	0.105459277
110	0.1050607385
111	0.1048154751
112	0.1044263702
113	0.1040372662
114	0.1036082949
115	0.1034020192
116	0.103130372
117	0.1028101491
118	0.1025307733
119	0.1021511236
120	0.1020474246
121	0.101982704
122	0.1016883478
123	0.1014206067
124	0.1012206919
125	0.1009591444
126	0.1008475163
127	0.1006699871
128	0.1004217784
129	0.1001866232
130	0.0999081559
131	0.09962781403
132	0.099312737
133	0.09893461974
134	0.09870148411
135	0.09847742277
136	0.09822331318
137	0.09809886302
138	0.09783206117
139	0.09761409731
140	0.09735632857
141	0.09709143906
142	0.09684514465
143	0.09655043807
144	0.09622995478
145	0.0959770591
146	0.0957595735
147	0.0956167667
148	0.09541560766
149	0.09518764834
150	0.09506527605
151	0.09477720293
152	0.09438990616
153	0.09413393584
154	0.09402484413
155	0.09396015579
156	0.0937613996
157	0.09358462604
158	0.09324896789
159	0.09293295525
160	0.09275545047
161	0.09260561346
162	0.09246781871
163	0.0923477641
164	0.09221746666
165	0.09198981935
166	0.09184613467
167	0.09162970386
168	0.09139101721
169	0.09119887427
170	0.0910295059
171	0.09082712494
172	0.09063072368
173	0.09059990399
174	0.09048896372
175	0.09043577706
176	0.09039063729
177	0.09018356581
178	0.09011360253
179	0.0900308302
180	0.08992744755
181	0.08971584388
182	0.08968917514
183	0.08960897817
184	0.08946509768
185	0.08939969094
186	0.08930836231
187	0.08913993584
188	0.08906428897
189	0.0889906575
190	0.08893689612
191	0.08887906156
192	0.08864369753
193	0.08843764103
194	0.08839676593
195	0.08826034003
196	0.08811427918
197	0.08805157694
198	0.08801574007
199	0.08785093558
200	0.08766819296
201	0.08755881726
202	0.08742880427
203	0.08740626605
204	0.0871899553
205	0.08711168233
206	0.08693626194
207	0.08664471498
208	0.08662385932
209	0.08641573366
210	0.08625868272
211	0.08612946093
212	0.08592982275
213	0.08591274339
214	0.08573873915
215	0.08561102435
216	0.08554526495
217	0.08539001052
218	0.08523224442
219	0.08517587294
220	0.08504106187
221	0.08494658017
222	0.08479934899
223	0.08465414879
224	0.08462325645
225	0.08459350885
226	0.08442282015
227	0.08426570772
228	0.08419165927
229	0.08417427293
230	0.08412775167
231	0.08402147613
232	0.08386455674
233	0.08361432526
234	0.08359528101
235	0.08344406057
236	0.08331318101
237	0.08312128611
238	0.08306251256
239	0.08289876738
240	0.08280089042
241	0.08264844543
242	0.08243268814
243	0.08239781062
244	0.08224472923
245	0.08209743131
246	0.08200344319
247	0.08186123983
248	0.08184591508
249	0.08181520169
250	0.08160298163
251	0.08147458817
252	0.08137481083
253	0.08125180883
254	0.08103761762
255	0.08091005927
256	0.08076089688
257	0.08064033685
258	0.08047957347
259	0.08040821049
260	0.08036093673
261	0.08023398501
262	0.08006017654
263	0.07994038392
264	0.07986994537
265	0.07974294473
266	0.07962552075
267	0.07943401288
268	0.07937119226
269	0.07910441479
270	0.07894695846
271	0.07888715239
272	0.07868018638
273	0.07862892326
274	0.07850711253
275	0.07839945973
276	0.07829770293
277	0.07819790251
278	0.07803863518
279	0.0780129264
280	0.07785187731
281	0.07773964031
282	0.07761712849
283	0.07751465376
284	0.07736432249
285	0.07729445658
286	0.07712688633
287	0.0769787933
288	0.07686248174
289	0.07669946583
290	0.07657067136
291	0.07647457095
292	0.07635265567
293	0.07622590351
294	0.07609634267
295	0.07601562816
296	0.07591459766
297	0.07582432464
298	0.07577675885
299	0.07567985648
300	0.07551640043
301	0.0754023622
302	0.07529697303
303	0.0751435618
304	0.07500690973
305	0.0749075129
306	0.07478052207
307	0.07464234179
308	0.07452472104
309	0.07437265769
310	0.07429266272
311	0.07422970852
312	0.07405559985
313	0.07389826757
314	0.07384573432
315	0.07372935471
316	0.07365039949
317	0.07353717866
318	0.07346421129
319	0.07329811926
320	0.07321960813
321	0.0730889651
322	0.07302049356
323	0.07294015151
324	0.07284701862
325	0.07275795371
326	0.07273058141
327	0.07263133603
328	0.07254675479
329	0.07241626412
330	0.07231720351
331	0.07219899559
332	0.07212869172
333	0.07209608397
334	0.0719209712
335	0.07180937798
336	0.07172296865
337	0.07162654612
338	0.07151959571
339	0.07141704365
340	0.07133365114
341	0.0712080964
342	0.07118202362
343	0.07110300133
344	0.07100805194
345	0.07089507491
346	0.07083686391
347	0.07071529532
348	0.07068927347
349	0.07059410507
350	0.07049377059
351	0.07037111986
352	0.07029182397
353	0.07018990243
354	0.07014373269
355	0.07005963295
356	0.06997154528
357	0.06988271737
358	0.069773148
359	0.06969027401
360	0.06959700957
361	0.06954581385
362	0.06946209407
363	0.06937277554
364	0.06928653812
365	0.06924015082
366	0.06919885842
367	0.06908177061
368	0.06902802413
369	0.06896779744
370	0.06888939663
371	0.06884048395
372	0.06872851646
373	0.06869100884
374	0.06858555476
375	0.06842141529
376	0.06830579084
377	0.06822415401
378	0.06810688482
379	0.06802047215
380	0.06791634427
381	0.06786971509
382	0.06778360828
383	0.06771541652
384	0.06767420169
385	0.06756122392
386	0.06747807793
387	0.06741369092
388	0.06740155103
389	0.067274567
390	0.0672117346
391	0.0671160086
392	0.06698860383
393	0.06689545308
394	0.06678133937
395	0.06670140036
396	0.06659158009
397	0.06649745087
398	0.06635100321
399	0.06630414501
400	0.06618754855
401	0.06615515608
402	0.06606464056
